epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,fw,1,1,1,0.85,0.3,9,3,0,1.8053800208568573,0.10442358365631663,1.175546595454216,0.07442358255852013,122.69958703613281,132.5832341003418,0.0,0.0
2,0,fw,1,1,1,0.85,0.3,9,3,0,1.0744239823818207,0.12342296462412923,1.0395669385790824,0.1455286176665686,138.48755647277832,138.34274703979492,0.0,0.0
3,0,fw,1,1,1,0.85,0.3,9,3,0,1.0683322721123696,0.1172884942367673,1.131640348136425,0.08534070922527462,136.75020750427245,130.77597259521485,0.0,0.0
4,0,fw,1,1,1,0.85,0.3,9,3,0,1.0532433840930462,0.1345797331595095,1.1147022551298142,0.08567047829506919,126.82299098205566,123.18817398071289,0.0,0.0
5,0,fw,1,1,1,0.85,0.3,9,3,0,1.038501298263669,0.15862489052279852,1.0440122205018998,0.15075242686551063,118.77997142028809,119.19246520996094,0.0,0.0
6,0,fw,1,1,1,0.85,0.3,9,3,0,1.0410006981492042,0.14957880118209868,1.0942096298933028,0.13577085418626667,113.94906576538087,108.72556045532227,0.0,0.0
