epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,fw,1,1,1,0.85,0.3,9,3,0,1.7601544685959816,0.1078765808455646,1.201300586462021,0.07388407368212939,127.48912707519531,136.8745945739746,0.0,0.0
2,0,fw,1,1,1,0.85,0.3,9,3,0,1.0817182467281818,0.12951644856855274,1.0423242887854576,0.14371528698131442,145.7521483001709,145.40589462280275,0.0,0.0
3,0,fw,1,1,1,0.85,0.3,9,3,0,1.0696796323060989,0.114539064463228,1.1248614937067032,0.07483427628874778,143.38435568237304,137.12581939697264,0.0,0.0
4,0,fw,1,1,1,0.85,0.3,9,3,0,1.0530683289170266,0.13624118917807937,1.07254089564085,0.07103169554844499,135.48464155578614,135.05300216674806,0.0,0.0
5,0,fw,1,1,1,0.85,0.3,9,3,0,1.044049407094717,0.14432733253762126,1.050838914513588,0.1342763603106141,126.92440228271484,124.3682908630371,0.0,0.0
6,0,fw,1,1,1,0.85,0.3,9,3,0,1.0467396017313004,0.13834526474401354,1.0577059084177016,0.12958676921203732,117.70070817565917,113.4776335144043,0.0,0.0
7,0,fw,1,1,1,0.85,0.3,9,3,0,1.0382340788245201,0.15427489473856987,1.0807854995131492,0.16091430459171532,107.97454458618164,102.5694277191162,0.0,0.0
8,0,fw,1,1,1,0.85,0.3,9,3,0,1.03665353551507,0.17252797622978688,0.9875461187958717,0.1807621705904603,101.91271305847168,97.462124710083,0.0,0.0
9,0,fw,1,1,1,0.85,0.3,9,3,0,1.0281269921809435,0.17844393268600106,0.9629129494726658,0.2195829725265503,92.7376162261963,89.3268968963623,0.0,0.0
10,0,fw,1,1,1,0.85,0.3,9,3,0,1.0243989118039607,0.17251443654298781,0.9669376768171787,0.17861069299280644,84.2048779296875,82.7134317779541,0.0,0.0
11,0,fw,1,1,1,0.85,0.3,9,3,0,1.0348671672344207,0.14187180491909385,1.0370908108353616,0.09272228859364987,76.90367167663574,70.99133247375488,0.0,0.0
12,0,fw,1,1,1,0.85,0.3,9,3,0,1.0372694441974164,0.13624937573447823,1.0460547477006912,0.11191256487742067,65.43791149902344,63.54298080444336,0.0,0.0
13,0,fw,1,1,1,0.85,0.3,9,3,0,1.0223070956915616,0.16118973325565458,1.0030446135997773,0.15806533697992564,55.474063117980954,51.792108879089355,0.0,0.0
14,0,fw,1,1,1,0.85,0.3,9,3,0,1.0084290136098861,0.17188101436570286,0.989522670507431,0.1947419907525182,44.855527984619144,42.37582271575928,0.0,0.0
15,0,fw,1,1,1,0.85,0.3,9,3,0,1.0001055711507798,0.1916581736281514,0.946394385099411,0.23998800972476603,37.67645221710205,32.529434566497805,0.0,0.0
16,0,fw,1,1,1,0.85,0.3,9,3,0,0.953879384368658,0.25833014615997674,1.0036046606302262,0.24670378370210527,26.679541088104248,20.38526412963867,0.0,0.0
