t,s,h_norm,Ah_norm,cos_h0
0,0,45.10103225708008,0.0,1.0
0,1,2.1774494647979736,0.0,0.2309938669204712
0,2,2.1774494647979736,0.0,0.2309938669204712
1,0,41.67491149902344,0.09795022755861282,0.9999999403953552
1,1,3.9409871101379395,0.025381192564964294,0.7704827785491943
1,2,3.940460443496704,0.021376099437475204,0.7704470753669739
2,0,162.41064453125,121.86746215820312,1.0
2,1,5.227005481719971,20.406269073486328,0.2513355314731598
2,2,2.5637974739074707,0.7391672730445862,0.3133346736431122
3,0,36.10673904418945,44.06088638305664,1.0
3,1,4.92982292175293,16.58745574951172,0.6335940361022949
3,2,4.386246681213379,10.51325798034668,0.7688890695571899
4,0,214.93206787109375,304.59454345703125,1.0
4,1,5.4209465980529785,35.855430603027344,0.2072502076625824
4,2,1.7470226287841797,2.5919246673583984,0.359626442193985
5,0,26.277408599853516,65.04424285888672,1.0
5,1,5.763497352600098,31.688884735107422,0.5735653042793274
5,2,5.478899955749512,26.900463104248047,0.7131139039993286
6,0,273.7810974121094,757.649169921875,1.0
6,1,6.227516174316406,75.94290924072266,0.1821042001247406
6,2,1.9594424962997437,14.951604843139648,0.29786255955696106
7,0,41.037445068359375,69.46420288085938,1.0
7,1,6.089039325714111,57.46382141113281,0.27065321803092957
7,2,5.8116960525512695,54.23808670043945,0.27554553747177124
8,0,278.7795715332031,1064.767578125,0.9999998807907104
8,1,6.6681718826293945,114.53474426269531,0.17780598998069763
8,2,3.2106006145477295,48.70451736450195,0.21709419786930084
