step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,2.4020495414733887,2.4020493030548096,2.829634428024292,6.796922206878662
1,value,9,11.136917114257812,10.944761276245117,5.965081214904785,65.10140991210938
2,key,4,13.505654335021973,13.010885238647461,3.9070873260498047,41.406734466552734
3,value,4,18.46388816833496,15.926231384277344,6.300684928894043,85.31983947753906
4,key,0,20.076969146728516,17.204801559448242,3.7203142642974854,50.160003662109375
5,value,0,22.158802032470703,18.57288932800293,5.001620292663574,63.757591247558594
6,key,1,24.5649356842041,20.977537155151367,4.096015453338623,73.48213195800781
7,value,1,28.467771530151367,23.744293212890625,6.424267768859863,112.85034942626953
8,key,9,29.7471866607666,24.816650390625,3.854531764984131,70.31423950195312
9,value,9,36.75374984741211,32.4572639465332,6.475389003753662,187.11387634277344
10,query,2,36.75374984741211,32.4572639465332,3.3003599643707275,77.2203369140625
