step,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49]
0,key,9,4.916996002197266,1.4613559246063232,5.071648597717285,5.49176025390625,5.426578521728516,5.0775909423828125,5.549276351928711,5.529415607452393,5.461253643035889,3.7677969932556152,2.0207040309906006,2.1000683307647705,1.8811964988708496,1.3784871101379395,4.980755805969238,1.1439225673675537,5.543686866760254,5.284541606903076,5.100887298583984,1.0140610933303833,5.255187034606934,5.6413421630859375,5.5929975509643555,4.3612446784973145,5.072257995605469,5.208645343780518,5.307812690734863,5.784287452697754,5.014965057373047,0.8445215225219727,5.381549835205078,5.471255302429199,3.418062210083008,3.0106022357940674,1.609124779701233,5.5538740158081055,5.163571357727051,4.9957475662231445,0.7136174440383911,5.407000541687012,5.527008056640625,0.9606871008872986,5.432107448577881,5.460352897644043,5.4405598640441895,1.2799478769302368,5.319564342498779,5.497098922729492,4.948925018310547,5.14076566696167
1,value,9,2.1246047019958496,4.9433698654174805,1.6502366065979004,0.05850100517272949,0.2913248538970947,1.2575846910476685,0.2905592918395996,0.34079694747924805,0.8153948783874512,4.385890960693359,3.5137104988098145,4.5785417556762695,5.633256435394287,3.6300511360168457,0.8280634880065918,1.6076760292053223,0.0,1.2373573780059814,1.4276103973388672,1.604018211364746,0.1876211166381836,0.31073617935180664,0.33907580375671387,1.4555158615112305,2.775009870529175,1.471035122871399,0.0,0.5035991668701172,0.09251236915588379,1.6417663097381592,1.141892910003662,0.21314597129821777,0.0,3.058927536010742,0.0,3.497117280960083,1.126542568206787,2.3432674407958984,1.4995896816253662,0.5693132877349854,0.0,3.3048813343048096,0.2840588092803955,0.15346288681030273,0.0,1.671870231628418,0.0,0.0,4.518406867980957,2.133378744125366
2,key,4,9.850603103637695,0.0,14.020355224609375,11.749212265014648,12.499722480773926,11.993237495422363,12.68082046508789,12.692420959472656,10.645873069763184,6.338566780090332,1.6707329750061035,1.206773042678833,0.0,0.0,12.766046524047852,2.2451815605163574,12.52598762512207,13.092822074890137,13.297807693481445,1.8636012077331543,12.70350170135498,12.470685958862305,12.52763843536377,12.718908309936523,13.744735717773438,13.400240898132324,12.304291725158691,12.69041633605957,12.431634902954102,2.359924793243408,12.8974027633667,12.550132751464844,13.93338394165039,4.733768463134766,0.0,9.67152214050293,13.11339282989502,13.460987091064453,2.0695858001708984,12.798948287963867,12.241077423095703,2.147336721420288,12.776640892028809,12.515101432800293,11.644195556640625,2.280614137649536,12.199599266052246,11.673110961914062,13.281429290771484,13.39082145690918
3,value,4,2.7680909633636475,0.0,13.292828559875488,0.7935349941253662,0.639937162399292,0.7513186931610107,0.8094632625579834,0.911583662033081,2.9383089542388916,4.30471134185791,2.770151138305664,3.839107036590576,7.252866744995117,3.151977777481079,0.589970588684082,0.16654467582702637,0.8916492462158203,1.1801412105560303,0.8947887420654297,0.0,0.5439155101776123,0.7309117317199707,0.7337870597839355,0.0,0.9141604900360107,0.9266948699951172,0.6275174617767334,1.3257603645324707,0.45704078674316406,0.3690260052680969,0.7858626842498779,0.6739423274993896,0.0,1.7832674980163574,0.0,6.689978122711182,0.64670729637146,0.7603428363800049,0.35360652208328247,0.6805486679077148,0.7197451591491699,1.3819822072982788,0.6944825649261475,0.6451985836029053,0.8034558296203613,0.4323555827140808,0.6023662090301514,0.5744400024414062,2.7006425857543945,0.8135991096496582
4,key,0,12.040664672851562,0.0,0.0,9.111281394958496,8.82736873626709,8.811213493347168,9.723705291748047,10.101862907409668,13.383028030395508,11.108657836914062,3.8704638481140137,5.274221420288086,9.545409202575684,2.368405818939209,8.879358291625977,1.983809471130371,10.157087326049805,10.865891456604004,9.952829360961914,1.7905857563018799,8.890887260437012,9.03347396850586,9.098655700683594,5.974776268005371,9.551782608032227,10.132675170898438,9.128596305847168,11.31988525390625,8.621721267700195,2.252535343170166,9.127397537231445,9.066842079162598,22.457033157348633,4.933060646057129,0.0,18.088851928710938,8.964322090148926,9.105270385742188,2.1779749393463135,9.109817504882812,9.406684875488281,3.5022480487823486,9.414741516113281,8.99445629119873,9.7717924118042,2.124232769012451,8.932327270507812,8.883816719055176,13.006373405456543,9.216180801391602
5,value,0,0.30443525314331055,2.7895307540893555,0.0,0.0,0.0,0.0,0.0,0.0,0.5113887786865234,0.9014546871185303,0.0,0.08088088035583496,2.1958377361297607,0.0,0.0,0.0,0.0,0.0,0.0,10.8624906539917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5954933166503906,0.0,2.5415377616882324,2.6365644931793213,0.0,0.0,0.0,0.0,0.0,0.9173611402511597,0.0,0.0,0.0,0.0,0.0,0.0,0.4674499034881592,0.0
6,key,1,12.99300479888916,0.0,14.618535995483398,15.332395553588867,16.278757095336914,14.564231872558594,16.904052734375,16.894779205322266,15.287494659423828,6.975414276123047,0.0,0.0,0.0,0.0,15.506292343139648,1.5052214860916138,16.74300193786621,16.856971740722656,16.428098678588867,2.2777724266052246,16.128021240234375,16.771394729614258,16.71839714050293,14.477731704711914,16.31117820739746,16.80804443359375,15.716365814208984,17.559864044189453,15.138418197631836,2.5822038650512695,16.302383422851562,16.4746150970459,20.378095626831055,3.728732109069824,0.0,14.997502326965332,16.058536529541016,15.826595306396484,2.2165393829345703,16.52437400817871,16.435405731201172,2.691767454147339,16.60222625732422,16.452075958251953,15.645769119262695,2.2513601779937744,15.690958976745605,15.768000602722168,16.266159057617188,16.036190032958984
7,value,1,8.797767639160156,1.8938002586364746,0.0,7.299332618713379,5.447732925415039,4.067068576812744,6.679476261138916,6.546858787536621,10.225481033325195,6.220755577087402,4.466627597808838,4.097031593322754,7.506840705871582,4.380189418792725,0.0,2.2641713619232178,6.035516262054443,4.513250350952148,1.4701550006866455,2.5529773235321045,2.5803627967834473,8.662797927856445,7.885403633117676,0.0,1.9366846084594727,2.945162773132324,3.102233648300171,10.141277313232422,0.0,3.338735342025757,4.429294586181641,5.821331977844238,13.484190940856934,2.8678388595581055,1.3988736867904663,14.913739204406738,1.4574558734893799,0.4013028144836426,2.739509105682373,4.85405158996582,6.705845832824707,0.0,4.878003120422363,5.728829383850098,5.301154613494873,3.3432586193084717,3.6836071014404297,6.746579170227051,6.576738357543945,2.0409164428710938
8,key,9,11.0902738571167,0.0,9.626972198486328,13.590118408203125,14.387606620788574,12.284472465515137,14.787446975708008,14.6356201171875,12.616107940673828,6.957766532897949,2.1089248657226562,1.6877423524856567,0.49706172943115234,0.41644346714019775,12.49186897277832,1.81801176071167,14.34649658203125,14.040313720703125,13.509481430053711,1.7094862461090088,13.744035720825195,15.282522201538086,15.110506057739258,11.321712493896484,13.613153457641602,14.09255599975586,13.397256851196289,15.368293762207031,12.275206565856934,2.654338836669922,14.157334327697754,14.543371200561523,20.846330642700195,4.458642959594727,0.0,11.879607200622559,13.581501007080078,12.958032608032227,2.144756317138672,14.479633331298828,14.404926300048828,0.7206094861030579,14.468141555786133,14.511390686035156,13.141063690185547,2.118795156478882,13.47258186340332,13.819769859313965,13.707473754882812,13.4634428024292
9,value,9,9.152403831481934,0.7045068740844727,0.0,5.492270469665527,5.7797136306762695,6.334847450256348,6.155743598937988,6.26924991607666,8.196905136108398,11.275690078735352,6.455508708953857,8.470413208007812,12.480724334716797,5.9259796142578125,5.301365852355957,2.449326276779175,5.611617088317871,7.360424041748047,6.902673721313477,2.6715283393859863,5.097101211547852,6.474420070648193,6.392271995544434,4.226892471313477,8.776326179504395,7.321879863739014,4.535080909729004,7.467364311218262,4.053155899047852,2.8136556148529053,6.899569988250732,5.791133880615234,19.261734008789062,6.047616004943848,0.0,13.903544425964355,6.3015851974487305,7.709432125091553,2.5398054122924805,6.1608123779296875,5.180108070373535,4.132280349731445,5.786899566650391,5.663707256317139,3.886704444885254,2.9386980533599854,4.615886211395264,4.038417816162109,12.845283508300781,7.811992645263672
