step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,5.736792087554932,5.736791610717773,4.372943878173828,25.086669921875
1,value,9,14.129983901977539,13.463813781738281,6.373532772064209,83.9028091430664
2,key,4,18.922924041748047,18.138036727905273,4.698173522949219,79.3011245727539
3,value,4,25.869775772094727,25.00119400024414,6.1249589920043945,135.76043701171875
4,key,0,32.78253936767578,32.11200714111328,5.279782295227051,165.79592895507812
5,value,0,37.67741775512695,36.496864318847656,6.339105606079102,173.149658203125
6,key,1,45.54571533203125,44.6204719543457,5.656745910644531,248.45265197753906
7,value,1,50.24538803100586,48.9946174621582,6.332473278045654,231.17434692382812
8,key,9,58.002403259277344,56.97841262817383,5.727933406829834,320.9798583984375
9,value,9,66.13264465332031,65.2660903930664,5.923870086669922,378.40283203125
10,wait,-1,73.30706787109375,72.54808044433594,5.660542011260986,403.7839660644531
11,wait,-1,80.78248596191406,80.13119506835938,5.765368461608887,457.6629638671875
12,query,1,80.78248596191406,80.13119506835938,5.768682956695557,457.3123474121094
