step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,0.7681288123130798,0.7681288123130798,1.6001341342926025,1.2291091680526733
1,value,9,2.374709367752075,2.2835893630981445,2.701859712600708,6.121410846710205
2,key,4,2.8254106044769287,2.2736058235168457,2.1761763095855713,3.6851041316986084
3,value,4,3.422234296798706,2.335911989212036,2.6002304553985596,5.357044219970703
4,key,0,3.9877400398254395,2.749242067337036,2.301936626434326,5.682941436767578
5,value,0,4.587629318237305,2.949587821960449,2.71976375579834,6.994710922241211
6,key,1,5.475296497344971,4.04901647567749,2.5908148288726807,9.656881332397461
7,value,1,5.764554500579834,3.9436819553375244,2.622342109680176,6.110583782196045
8,wait,-1,9.737762451171875,8.35703182220459,4.8854169845581055,39.74871826171875
9,wait,-1,18.62665557861328,17.93089485168457,5.822107791900635,103.81005859375
10,query,1,18.62665557861328,17.93089485168457,10.759082794189453,57.62506103515625
