step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,1.8087643384933472,1.8087643384933472,2.4554457664489746,4.4413228034973145
1,value,9,17.99225616455078,17.91769027709961,7.7027153968811035,137.9691925048828
2,key,4,17.716636657714844,17.383350372314453,3.0308611392974854,9.60569953918457
3,value,4,26.31395149230957,21.255136489868164,8.068382263183594,162.0933074951172
4,key,0,25.646846771240234,20.618131637573242,2.6080288887023926,7.336146831512451
5,value,0,31.15594482421875,24.013731002807617,7.579462051391602,148.41024780273438
6,key,1,30.527856826782227,23.298526763916016,3.058861494064331,15.609402656555176
7,value,1,38.12834548950195,31.097368240356445,8.022191047668457,211.39414978027344
8,key,9,37.235111236572266,30.165538787841797,3.0939137935638428,16.290271759033203
9,value,9,48.17245101928711,41.3509407043457,8.013494491577148,302.0849914550781
10,wait,-1,46.751216888427734,40.11050796508789,1.1205426454544067,4.722548484802246
11,wait,-1,45.417991638183594,38.907188415527344,2.8914778232574463,7.252386093139648
12,query,1,45.417991638183594,38.907188415527344,6.793985366821289,116.17333984375
