t,s,h_norm,Ah_norm,cos_h0
0,0,2.2138352394104004,0.0,1.0000001192092896
1,0,3.575934410095215,0.8465879559516907,1.0
2,0,2.0813510417938232,0.6772616505622864,0.9999998807907104
3,0,2.4378039836883545,4.52476692199707,1.0000001192092896
4,0,0.960781455039978,1.0252892971038818,0.9999998211860657
5,0,4.452769756317139,3.531447649002075,1.0
6,0,1.7631012201309204,1.940483570098877,1.0
7,0,2.5081639289855957,9.216696739196777,1.0
8,0,1.469542384147644,0.7787647247314453,0.9999998807907104
9,0,6.971795558929443,34.51908493041992,1.0
10,0,1.7088301181793213,6.774540901184082,0.9999998807907104
