step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,4.9071364402771,4.907135963439941,4.044393539428711,19.846389770507812
1,value,9,32.711151123046875,32.415706634521484,10.33477783203125,334.7091064453125
2,key,4,31.855899810791016,31.468114852905273,2.5532660484313965,12.182465553283691
3,value,4,47.96394348144531,41.87103271484375,10.655586242675781,402.12646484375
4,key,0,46.69697570800781,40.68954086303711,2.5332484245300293,23.27863121032715
5,value,0,57.147804260253906,48.659393310546875,9.82541561126709,375.4552307128906
6,key,1,55.47452926635742,47.20582962036133,2.484652519226074,8.81507682800293
7,value,1,65.20829010009766,57.35812759399414,8.981252670288086,409.8041687011719
8,key,9,63.30951690673828,55.6441650390625,2.444401979446411,12.722396850585938
9,value,9,83.64947509765625,76.9363021850586,9.808828353881836,712.6116943359375
10,query,4,83.64947509765625,76.9363021850586,2.8723344802856445,30.26527976989746
