t,s,h_norm,Ah_norm,cos_h0
0,0,1.707524299621582,0.0,0.9999999403953552
1,0,3.3687875270843506,0.20653480291366577,1.0
2,0,1.2758142948150635,0.1857394278049469,1.0
3,0,2.992499828338623,2.277935028076172,1.0
4,0,2.2705771923065186,0.6434761881828308,0.9999998807907104
5,0,3.962054491043091,2.6106979846954346,1.0000001192092896
6,0,1.478009819984436,0.7981218099594116,1.0
7,0,2.482473134994507,5.709542751312256,1.0
8,0,1.4171843528747559,1.8995859622955322,1.0
9,0,2.081264019012451,3.980949878692627,1.0
10,0,8.504884719848633,15.222917556762695,1.0
