step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,3.965888500213623,3.9658889770507812,3.635880470275879,14.4194974899292
1,value,9,19.4031925201416,19.057331085205078,7.928338527679443,150.9104766845703
2,key,4,18.88442039489746,18.490880966186523,2.0605509281158447,4.378414630889893
3,value,4,21.29149627685547,17.950843811035156,5.931507587432861,64.63048553466797
4,key,0,20.947551727294922,17.419677734375,3.236722469329834,12.252226829528809
5,value,0,29.59115982055664,24.002925872802734,8.159799575805664,180.13929748535156
6,key,1,28.812923431396484,23.28954315185547,2.4038941860198975,7.9107513427734375
7,value,1,36.94363021850586,30.832494735717773,8.196110725402832,214.11276245117188
8,wait,-1,35.84992218017578,29.910140991210938,0.7016192078590393,5.150476932525635
9,wait,-1,34.851524353027344,29.043840408325195,2.1696624755859375,11.337489128112793
10,query,1,34.851524353027344,29.043840408325195,7.4785027503967285,73.3545913696289
