t,s,h_norm,Ah_norm,cos_h0
0,0,57.8892936706543,0.0,0.9999999403953552
1,0,60.205223083496094,0.7032942175865173,1.0
2,0,61.77824783325195,3.1932332515716553,0.9999998807907104
3,0,63.50546646118164,8.96072006225586,0.9999999403953552
4,0,156.91610717773438,10.600625991821289,0.9999998807907104
5,0,37.5178337097168,6.658252716064453,1.0
6,0,134.72137451171875,23.23917579650879,1.0
7,0,31.427051544189453,10.723264694213867,1.0
8,0,128.62460327148438,35.55929183959961,0.9999999403953552
9,0,47.350067138671875,35.54201889038086,0.9999999403953552
10,0,120.10862731933594,28.508913040161133,1.0
