step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,9.067778587341309,9.067778587341309,5.497811317443848,49.85293197631836
1,value,9,17.743526458740234,16.057424545288086,7.026371479034424,109.4948959350586
2,key,4,27.344905853271484,26.30296516418457,6.326243877410889,161.33567810058594
3,value,4,34.31923294067383,33.11054611206055,6.538184642791748,182.6686248779297
4,key,0,46.42748260498047,45.58220291137695,6.86936616897583,307.7519226074219
5,value,0,53.9178581237793,53.07729721069336,6.457067489624023,299.3666076660156
6,key,1,66.27439880371094,65.62305450439453,6.995277404785156,452.4002380371094
7,value,1,74.1950912475586,73.61620330810547,6.153588771820068,428.40716552734375
8,wait,-1,85.6737060546875,85.19525909423828,6.886670112609863,579.0860595703125
9,wait,-1,96.94322967529297,96.5404052734375,6.8748369216918945,658.1282348632812
10,query,1,96.94322967529297,96.5404052734375,7.029923915863037,672.1906127929688
