step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,14.047484397888184,14.0474853515625,6.8428754806518555,96.12519073486328
1,value,9,25.305944442749023,23.797143936157227,7.911691665649414,175.4471893310547
2,key,4,40.99605941772461,39.90153884887695,7.789980888366699,305.39013671875
3,value,4,52.41189193725586,51.456443786621094,7.30232572555542,347.0709533691406
4,key,0,69.10408020019531,68.40040588378906,7.912292003631592,538.2568969726562
5,value,0,84.59220886230469,84.03736877441406,7.840602397918701,648.2861328125
6,key,1,100.8270263671875,100.38410186767578,7.962590217590332,796.7339477539062
7,value,1,116.59063720703125,116.22752380371094,7.956899642944336,921.994384765625
8,key,9,132.04539489746094,131.74183654785156,7.981896877288818,1048.919921875
9,value,9,147.09298706054688,146.835205078125,7.989023685455322,1170.3614501953125
10,wait,-1,161.73147583007812,161.50979614257812,7.994974136352539,1288.412841796875
11,wait,-1,175.96495056152344,175.77249145507812,7.999897003173828,1403.174072265625
12,query,1,175.96495056152344,175.77249145507812,7.999475955963135,1403.26025390625
