t,s,vec_type,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49]
3,0,hs,value,4,2.5292351245880127,0.0,0.0,0.3526591956615448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738296627998352,0.0,0.0,0.0,0.80040043592453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7555511593818665,0.0,0.0,0.0,0.3862282633781433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7265698313713074,0.0,0.0
3,1,hs,value,4,2.502631664276123,0.0,0.0,0.3510526120662689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8204696178436279,0.0,0.0,0.0,0.8766582012176514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8350598812103271,0.0,0.0,0.0,0.37322506308555603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7972769737243652,0.0,0.0
4,-1,base,key,0,7.327227592468262,10.020859718322754,17.548152923583984,6.513917446136475,9.767122268676758,17.990737915039062,1.4118554592132568,3.9076919555664062,13.395940780639648,0.4273105263710022,10.692862510681152,7.5983991622924805,7.969012260437012,2.9704370498657227,9.930091857910156,2.111173152923584,10.546323776245117,3.7051706314086914,17.961872100830078,15.769654273986816,17.61861801147461,6.895118236541748,2.2450780868530273,-7.743155479431152,-2.9640166759490967,9.560648918151855,17.47121810913086,10.211183547973633,0.9542168378829956,2.5689008235931396,14.8789644241333,4.124294757843018,4.672168731689453,3.8532495498657227,4.6228437423706055,17.50969696044922,12.723597526550293,18.035057067871094,16.6101131439209,18.992013931274414,18.623682022094727,7.825840473175049,8.202840805053711,11.49643611907959,15.650867462158203,1.4937342405319214,17.409400939941406,6.08729887008667,10.694609642028809,2.6203243732452393
4,0,hs,key,0,0.0,0.0,0.0,0.058501504361629486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.655611515045166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5527549982070923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,hs,key,0,0.0,0.0,0.0,0.08440013974905014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.722145438194275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55973219871521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-1,base,value,0,2.6247270107269287,-6.545999526977539,6.297593116760254,3.836693286895752,-24.301475524902344,9.435775756835938,-19.04542350769043,-5.013603210449219,17.478750228881836,0.6687288880348206,-2.956854820251465,6.754128456115723,-1.0660009384155273,-4.548401355743408,5.850240230560303,7.5533246994018555,2.338930606842041,-4.787053108215332,1.6712502241134644,6.4445695877075195,26.022724151611328,7.050850868225098,-0.5265556573867798,-6.309364318847656,3.4756104946136475,0.3308525085449219,-14.977437019348145,-19.798961639404297,-4.621861934661865,7.5305962562561035,-5.902212142944336,34.281768798828125,-11.599031448364258,10.641146659851074,0.06118512153625488,22.735206604003906,10.351072311401367,5.258872032165527,22.918867111206055,-10.445070266723633,0.8116135597229004,-23.388103485107422,-9.526870727539062,7.673555374145508,-12.02137565612793,-5.161691665649414,-17.1312255859375,-2.3839187622070312,-24.411083221435547,2.2771053314208984
5,0,hs,value,0,0.0,0.0,0.0,0.44082048535346985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5082122087478638,0.0,0.0,0.0,0.6235440969467163,0.0,0.0,0.0,0.0,0.0,0.5424301028251648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624563455581665,0.0,3.7162880897521973,0.0,0.6011322736740112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,hs,value,0,0.0,0.0,0.0,0.44624650478363037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573981523513794,0.0,0.0,0.0,0.6910404562950134,0.0,0.0,0.0,0.0,0.0,0.557106077671051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6906909942626953,0.0,3.670898914337158,0.0,0.6018995046615601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-1,base,key,1,8.931989669799805,14.861172676086426,21.222583770751953,6.9930572509765625,9.496143341064453,24.667598724365234,7.760087490081787,6.678288459777832,19.047365188598633,-2.4388248920440674,12.436516761779785,11.214986801147461,18.927091598510742,6.843590259552002,15.984617233276367,9.620264053344727,15.823038101196289,6.058093070983887,16.04149055480957,19.489343643188477,23.724178314208984,12.254343032836914,8.913226127624512,-7.437176704406738,-0.9719820022583008,18.73700714111328,20.489723205566406,13.07012939453125,10.07177448272705,9.950407028198242,11.895105361938477,-0.49823522567749023,8.950508117675781,5.800483703613281,1.7413110733032227,22.468116760253906,18.070154190063477,24.182783126831055,20.080020904541016,22.52198028564453,15.641119956970215,11.4979829788208,12.964638710021973,16.999143600463867,21.121318817138672,5.126657009124756,14.803396224975586,13.666403770446777,9.629803657531738,11.204373359680176
6,0,hs,key,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0504759550094604,0.0,0.0,0.0,0.0,0.0,0.2768544852733612,0.0,0.0,0.0,0.0,0.0,0.0,0.9974561333656311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09121739864349365,0.0,0.0,0.0,0.0,0.0,0.0,0.03355023264884949,0.0,0.0
