t,s,h_norm,Ah_norm,cos_h0
0,0,4.372943878173828,0.0,0.9999999403953552
1,0,6.515542984008789,11.498147964477539,0.9999999403953552
2,0,3.779629707336426,26.85907554626465,1.0000001192092896
3,0,6.532482147216797,39.156532287597656,1.0
4,0,4.535500526428223,67.16278076171875,1.0
5,0,6.596759796142578,50.12852478027344,1.0
6,0,5.716671943664551,120.62738037109375,1.0000001192092896
7,0,6.5994768142700195,67.42056274414062,1.0
8,0,6.056377410888672,177.82223510742188,1.0
9,0,6.103299140930176,227.84783935546875,0.9999998807907104
10,0,6.728390216827393,174.54214477539062,1.0
11,0,6.080853462219238,229.25564575195312,1.0
12,0,5.959676265716553,235.74664306640625,1.0
