t,s,h_norm,Ah_norm,cos_h0
0,0,66.20048522949219,0.0,1.0
0,1,2.0476768016815186,0.0,0.12183766067028046
0,2,2.0476768016815186,0.0,0.12183766067028046
1,0,30.831130981445312,1.8047840595245361,0.9999998807907104
1,1,8.1722993850708,1.2912118434906006,0.8039997816085815
1,2,8.356431007385254,1.418895959854126,0.7899684906005859
2,0,144.47457885742188,8.367118835449219,1.0
2,1,3.1057558059692383,0.598416268825531,0.3945040702819824
2,2,2.8091647624969482,0.32875216007232666,0.39903944730758667
3,0,24.754688262939453,3.713118553161621,1.0
3,1,9.735735893249512,1.7847263813018799,0.9689511656761169
3,2,9.612939834594727,1.6023664474487305,0.9755359888076782
4,0,175.3715362548828,17.132953643798828,1.0
4,1,3.5896081924438477,0.2860915958881378,0.4664662480354309
4,2,3.4252235889434814,0.13606639206409454,0.4694158732891083
5,0,35.67162322998047,9.370826721191406,0.9999999403953552
5,1,9.96692180633545,3.0644748210906982,0.929411768913269
5,2,9.650915145874023,2.832151412963867,0.9420846700668335
6,0,191.90809631347656,33.73321533203125,0.9999999403953552
6,1,6.049152851104736,2.391068458557129,0.34603965282440186
6,2,3.2823383808135986,0.3640369772911072,0.4233872890472412
7,0,48.274314880371094,18.533817291259766,0.9999999403953552
7,1,10.671163558959961,4.757203578948975,0.8595477342605591
7,2,10.820258140563965,4.828372001647949,0.8410162329673767
8,0,200.69549560546875,38.17136764526367,1.0
8,1,2.5945584774017334,0.829215407371521,0.38023775815963745
8,2,2.102750539779663,0.3389837145805359,0.38574355840682983
