t,s,vec_type,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49]
0,-1,base,key,9,-0.4156837463378906,10.523608207702637,13.075841903686523,-2.988677978515625,1.598582148551941,-4.7871246337890625,6.828058242797852,-3.5131049156188965,3.9557271003723145,1.8680529594421387,-1.3218097686767578,-1.025705337524414,-5.844781398773193,-4.441876411437988,7.6246185302734375,4.845974922180176,0.8280662894248962,-1.8066943883895874,3.7476000785827637,7.966901779174805,-2.0236053466796875,-0.9047256708145142,-2.1442368030548096,-2.4283692836761475,-1.7854533195495605,-2.8506250381469727,2.1257872581481934,-9.978960037231445,8.938822746276855,-4.780040740966797,-1.4072730541229248,2.2249867916107178,-2.0926153659820557,-1.428215503692627,4.373807907104492,-2.1506505012512207,1.5838425159454346,-1.98562753200531,-3.4311742782592773,-2.966881513595581,-0.896978497505188,7.180608749389648,-0.3445401191711426,2.5184807777404785,-1.2174612283706665,-3.8805758953094482,2.845059871673584,6.423343658447266,7.323647975921631,-3.4725542068481445
0,0,hs,key,9,0.0,2.834750175476074,2.248974084854126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9698304533958435,0.0,0.18990756571292877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4602781534194946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39291003346443176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,hs,key,9,0.0,2.834750175476074,2.248974084854126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9698304533958435,0.0,0.18990756571292877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4602781534194946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39291003346443176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1,base,value,9,13.313239097595215,13.827371597290039,20.768150329589844,5.915787696838379,10.709030151367188,32.740867614746094,10.651592254638672,10.81772518157959,10.262090682983398,11.766534805297852,13.823524475097656,9.8010892868042,11.16672134399414,10.918546676635742,27.11212730407715,11.189760208129883,19.242027282714844,21.070945739746094,10.629790306091309,10.478583335876465,11.240092277526855,10.747063636779785,12.755851745605469,11.656255722045898,9.93133544921875,10.194562911987305,10.398317337036133,11.585160255432129,11.537046432495117,11.2467041015625,11.226426124572754,9.927631378173828,19.568519592285156,10.013072967529297,10.666580200195312,13.338067054748535,9.916236877441406,9.654083251953125,13.391465187072754,12.281362533569336,12.095582008361816,10.664473533630371,13.513761520385742,10.454195022583008,18.397560119628906,7.680017471313477,10.094655990600586,10.291498184204102,10.37949275970459,10.701986312866211
1,0,hs,value,9,0.0,1.5734190940856934,1.3201864957809448,0.0,0.0,8.069987297058105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625619888305664,0.0,2.7479066848754883,3.448720932006836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7883849143981934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7730836272239685,0.0,1.7192212343215942,0.0,0.0,0.0,0.0,0.0
1,1,hs,value,9,0.0,1.5875197649002075,1.33456552028656,0.0,0.0,8.057565689086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6283366680145264,0.0,2.7450716495513916,3.442312717437744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7829065322875977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7746439576148987,0.0,1.715882420539856,0.0,0.0,0.0,0.0,0.0
2,-1,base,key,4,44.22173309326172,47.23674011230469,40.075157165527344,60.38534164428711,53.21830368041992,25.88825225830078,41.267818450927734,54.466487884521484,54.81105422973633,60.576438903808594,60.591739654541016,33.027809143066406,48.13456726074219,45.35218811035156,45.07805633544922,51.33104705810547,38.88336181640625,35.73494338989258,42.98752975463867,50.049102783203125,43.140159606933594,44.064903259277344,40.42808532714844,41.338645935058594,43.159427642822266,41.15220260620117,49.633419036865234,58.295631408691406,40.86879348754883,58.582298278808594,58.16364288330078,39.19879150390625,37.908897399902344,47.55583953857422,47.83927536010742,40.05120086669922,55.04982376098633,41.02296829223633,46.12668991088867,45.30108642578125,46.48621368408203,46.550296783447266,35.04716873168945,50.78451919555664,34.04898452758789,46.00204086303711,40.59918212890625,52.68229293823242,48.42481994628906,41.023773193359375
2,0,hs,key,4,0.0,1.5209640264511108,0.0,1.4829195737838745,0.0,0.0,0.0,0.0,0.0,0.0,1.4097481966018677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,hs,key,4,0.0,1.5256469249725342,0.0,1.4837299585342407,0.0,0.0,0.0,0.0,0.0,0.0,1.4107141494750977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-1,base,value,4,8.02925968170166,17.256690979003906,2.392879009246826,12.823531150817871,6.079885959625244,5.446281433105469,5.549518585205078,4.357917785644531,4.659298896789551,6.837657928466797,13.348409652709961,12.00075912475586,6.226773262023926,5.202515125274658,7.54744815826416,6.265101909637451,5.9567766189575195,5.200346946716309,5.38601541519165,5.517661094665527,5.0424323081970215,16.368743896484375,7.508473873138428,6.684629440307617,4.117029666900635,5.657710075378418,4.619043350219727,5.180608749389648,4.57619571685791,4.810547828674316,6.3238372802734375,6.001045227050781,28.905241012573242,4.479337692260742,5.399319171905518,5.348818778991699,4.169503688812256,6.6940107345581055,6.895157814025879,4.6568756103515625,8.832023620605469,5.698675155639648,7.334238052368164,4.903903484344482,5.956631660461426,7.96751594543457,5.378142833709717,4.639712810516357,5.331229209899902,5.6108808517456055
3,0,hs,value,4,0.0,3.0140469074249268,0.0,1.0054761171340942,0.0,0.0,0.0,0.0,0.0,0.0,0.9552960395812988,1.7418544292449951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.814023971557617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.190613746643066,0.0,0.0,0.0,0.0,0.001753106596879661,0.0,0.0,0.0,0.0,0.6608302593231201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,hs,value,4,0.0,3.042080879211426,0.0,0.9891631603240967,0.0,0.0,0.0,0.0,0.0,0.0,0.9346784353256226,1.7097400426864624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7458174228668213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22134017944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6691197156906128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-1,base,key,0,35.637691497802734,30.373634338378906,51.93214416503906,32.95607376098633,49.43598556518555,30.187076568603516,42.2127799987793,38.18106460571289,38.14765167236328,39.3501091003418,50.15892028808594,30.840694427490234,48.26387023925781,35.65437316894531,37.07476806640625,38.19322967529297,33.88900375366211,34.591129302978516,44.49115753173828,37.238548278808594,33.67060852050781,29.180734634399414,34.78883743286133,36.18315505981445,40.10407638549805,33.16586685180664,46.13275909423828,43.661014556884766,34.16299819946289,39.45079803466797,40.37953567504883,46.77268981933594,18.531047821044922,43.44232177734375,42.38111877441406,33.42127227783203,32.36567687988281,32.79143524169922,36.33184051513672,33.04803466796875,37.8943977355957,38.26919174194336,26.097103118896484,39.97468566894531,26.57151985168457,33.61433792114258,43.023223876953125,34.816436767578125,35.91473388671875,35.060462951660156
4,0,hs,key,0,0.0,0.6858561635017395,1.8681600093841553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.508888840675354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23576635122299194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,hs,key,0,0.0,0.7023720741271973,1.887158989906311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5190497636795044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234819233417511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-1,base,value,0,7.196341514587402,26.42584228515625,13.94775104522705,0.6114805936813354,5.204071521759033,6.318816184997559,4.0369873046875,3.5869956016540527,3.1832804679870605,3.549489974975586,12.859872817993164,4.527591705322266,4.008279800415039,4.537456035614014,8.752420425415039,3.5133533477783203,9.996192932128906,10.803154945373535,3.682852268218994,3.400862216949463,4.989067077636719,10.79833984375,6.691999912261963,10.285948753356934,-0.6133354306221008,4.4946675300598145,3.2037835121154785,3.6947813034057617,2.966714382171631,3.8182458877563477,3.2783844470977783,3.7068915367126465,10.931843757629395,4.348249435424805,3.4239587783813477,6.050785541534424,3.095353603363037,3.491476058959961,6.52895450592041,31.933069229125977,8.41032600402832,3.0151803493499756,3.25451922416687,3.828735828399658,11.302970886230469,5.076684474945068,4.156228542327881,3.8435659408569336,4.152162551879883,2.9975993633270264
5,0,hs,value,0,0.0,3.807543992996216,0.9326856136322021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6243454813957214,0.0,0.0,0.0,0.0,0.0,1.3146603107452393,1.5955166816711426,0.0,0.0,0.0,1.2249997854232788,0.0,1.383241057395935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6097962856292725,0.0,0.0,0.0,0.0,0.0,0.0,8.402957916259766,0.0,0.0,0.05559350550174713,0.0,1.2994611263275146,0.0,0.0,0.0,0.0,0.0
5,1,hs,value,0,0.0,3.842273473739624,0.9365870952606201,0.0,0.0,0.17205049097537994,0.0,0.0,0.0,0.0,0.6153737306594849,0.02935081161558628,0.0,0.0,0.0,0.0,1.344850778579712,1.6397223472595215,0.0,0.0,0.0,1.3411047458648682,0.0,1.3072311878204346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0814895629882812,0.0,0.0,0.0,0.0,0.0,0.0,8.154173851013184,0.0,0.0,0.08155921846628189,0.0,1.2864140272140503,0.0,0.0,0.0,0.0,0.0
6,-1,base,key,1,40.04530715942383,30.490543365478516,39.48017120361328,51.770748138427734,57.04403305053711,39.14463424682617,44.97245788574219,44.627559661865234,49.07884216308594,47.49811553955078,43.450862884521484,35.64002227783203,50.389671325683594,52.556846618652344,45.571590423583984,45.833492279052734,38.76252365112305,38.7734489440918,37.30235290527344,34.730918884277344,40.442901611328125,39.04359436035156,40.636573791503906,37.56334686279297,48.637062072753906,37.14270782470703,34.28448486328125,54.16651916503906,38.65706253051758,49.41926193237305,48.45820236206055,39.26685333251953,33.967559814453125,49.08795928955078,45.0445556640625,41.05226135253906,42.66312789916992,38.31440353393555,51.300880432128906,27.355636596679688,40.44879150390625,40.75284957885742,34.92890167236328,45.25125503540039,30.28736686706543,59.06652069091797,42.989891052246094,46.986732482910156,46.62723922729492,38.22549057006836
6,0,hs,key,1,0.0,0.20627498626708984,0.0,0.9972400069236755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08445143699646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42466387152671814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.776117205619812,0.0,0.0,0.0,0.0,0.0,0.0,1.7816946506500244,0.0,0.0,0.0,0.0
6,1,hs,key,1,0.0,0.20737826824188232,0.0,0.9979932308197021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0845346450805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42465323209762573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7761800289154053,0.0,0.0,0.0,0.0,0.0,0.0,1.7819932699203491,0.0,0.0,0.0,0.0
7,-1,base,value,1,6.845939636230469,31.28646469116211,4.812592506408691,11.494893074035645,10.74068832397461,6.04656982421875,5.158658981323242,3.2597436904907227,2.4153778553009033,-1.2994399070739746,9.28500747680664,12.583975791931152,4.766984939575195,5.34381628036499,6.293152809143066,2.2319533824920654,19.699359893798828,22.706499099731445,5.105854034423828,2.8665034770965576,6.889813423156738,25.129484176635742,8.337794303894043,6.060127258300781,-3.2773687839508057,5.56271505355835,4.999466896057129,4.8279008865356445,5.151998043060303,4.353437423706055,3.0272252559661865,4.271519184112549,7.125535488128662,5.194896697998047,3.9536290168762207,5.794219493865967,3.508054256439209,5.150530815124512,17.609561920166016,6.28610897064209,9.49879264831543,4.213672637939453,14.594277381896973,4.7825212478637695,9.231989860534668,13.337574005126953,4.880588531494141,3.2426400184631348,3.6449031829833984,5.786623001098633
7,0,hs,value,1,0.0,3.9331257343292236,0.0,0.3601854145526886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3177955150604248,0.0,0.0,0.0,0.0,3.708256721496582,4.539004802703857,0.0,0.0,0.0,4.927163600921631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06954752653837204,0.0,0.0,0.0,0.0,0.0,1.0777949094772339,0.0,0.0,0.0,1.6801953315734863,0.0,0.5754517316818237,0.5543158054351807,0.0,0.0,0.0,0.0
7,1,hs,value,1,0.0,4.005703449249268,0.0,0.32123345136642456,0.0,0.007921718992292881,0.0,0.0,0.0,0.0,0.0,1.2720714807510376,0.0,0.0,0.0,0.0,3.679921865463257,4.523818016052246,0.0,0.0,0.0,4.882822036743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9771573543548584,0.0,0.0,0.0,0.0,0.0,0.9297224879264832,0.0,0.0,0.0,1.6177334785461426,0.0,0.629031777381897,0.4638405740261078,0.0,0.0,0.0,0.0
8,-1,base,key,9,42.40495300292969,26.111572265625,42.5822868347168,39.6639404296875,44.68557357788086,36.78304672241211,48.22578048706055,50.425376892089844,40.52632141113281,45.0080680847168,46.3128547668457,30.86005401611328,49.17265319824219,53.04972839355469,56.02639389038086,44.30874252319336,31.91815757751465,31.916580200195312,41.11968231201172,39.47349166870117,40.715980529785156,32.371620178222656,42.10902786254883,41.00520324707031,53.57450485229492,38.14738464355469,35.81324005126953,49.80866622924805,56.64287567138672,53.584381103515625,47.32750701904297,38.00123977661133,35.676204681396484,53.84421157836914,44.72024917602539,44.37518310546875,42.20375061035156,41.16217041015625,51.745361328125,38.63780975341797,39.95576095581055,41.46150588989258,34.4935302734375,53.77069854736328,32.54105758666992,43.214332580566406,46.96397018432617,50.06013107299805,50.82584762573242,39.36746597290039
8,0,hs,key,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0264383554458618,1.2713650465011597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6707025766372681,0.0,0.0,0.0,1.5293105840682983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033604979515076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,hs,key,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0271679162979126,1.2766687870025635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709182262420654,0.0,0.0,0.0,1.531059741973877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7041800618171692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-1,base,value,9,4.747138023376465,29.932750701904297,6.927725791931152,6.634422302246094,5.798089027404785,26.390531539916992,2.413151979446411,1.5498360395431519,2.0751404762268066,0.8415707349777222,7.870589256286621,8.380192756652832,2.7322754859924316,2.9145357608795166,18.67776870727539,1.4913887977600098,13.274948120117188,14.839571952819824,2.8362865447998047,1.6117773056030273,4.730703353881836,3.817108154296875,5.229107856750488,5.837375164031982,-3.610135316848755,3.3683266639709473,3.3854312896728516,3.3908157348632812,3.9037418365478516,2.62937068939209,3.1333768367767334,2.085965394973755,13.846129417419434,1.8399755954742432,2.579233169555664,5.742640972137451,2.093313694000244,2.327536106109619,14.328763008117676,5.880875587463379,7.085909843444824,3.314310312271118,8.8985595703125,2.552919864654541,7.304447174072266,1.9259334802627563,1.9582023620605469,1.2003426551818848,0.928922176361084,4.817880630493164
9,0,hs,value,9,0.0,4.04130744934082,0.0,0.0,0.0,6.253660678863525,0.0,0.0,0.0,0.0,0.0,0.8706067204475403,0.0,0.0,1.5800085067749023,0.0,2.378020763397217,2.8354029655456543,0.0,0.0,0.0,0.0,0.0,0.0615687258541584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.480360746383667,0.0,0.0,0.0,0.0,0.0,0.8797022700309753,0.0,0.0,0.0,1.0835145711898804,0.0,0.5453854203224182,0.0,0.0,0.0,0.0,0.0
9,1,hs,value,9,0.0,3.8593266010284424,0.0,0.0,0.0,6.294508457183838,0.0,0.0,0.0,0.0,0.0,0.7749757766723633,0.0,0.0,1.1112300157546997,0.0,2.991726875305176,3.6828055381774902,0.0,0.0,0.0,0.6729432940483093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8756203651428223,0.0,0.0,0.0,0.0,0.0,0.32704958319664,0.28128817677497864,0.0,0.0,1.074244499206543,0.0,0.7318448424339294,0.0,0.0,0.0,0.0,0.0
10,-1,base,query,4,48.907310485839844,31.62445068359375,47.6533203125,46.75965118408203,55.654483795166016,31.05136489868164,51.113834381103516,53.80338668823242,51.028621673583984,57.41362380981445,49.45370101928711,37.79547119140625,57.988563537597656,58.77778244018555,60.73286819458008,50.99502182006836,38.84408187866211,37.004676818847656,43.84014892578125,44.46967697143555,43.77529525756836,43.79066467285156,47.4067497253418,43.73007583618164,58.969539642333984,43.48378372192383,39.58638000488281,59.7856330871582,60.84796905517578,59.22642135620117,56.91495132446289,44.840476989746094,35.40903854370117,56.94112777709961,48.19508361816406,49.45016860961914,49.06682205200195,46.27480697631836,58.37852478027344,44.35154724121094,44.712310791015625,44.12055206298828,36.65656661987305,55.74407958984375,35.75566864013672,49.36552429199219,52.406394958496094,53.57655334472656,54.5578498840332,42.295997619628906
10,0,hs,query,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9843178987503052,1.0381015539169312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6244533061981201,0.0,0.0,0.0,1.3124173879623413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7720737457275391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,hs,query,4,0.0,0.3025309443473816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1621652841567993,1.673780083656311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679542601108551,0.0,0.0,0.0,1.6206276416778564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583320021629333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
