step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,3.5809658584184945e-05,3.5809658584184945e-05,0.010925453156232834,3.912367390057625e-07
1,value,9,1.0125281810760498,1.0125281810760498,1.8371317386627197,1.8601475954055786
2,key,4,0.9941005110740662,0.9940024614334106,0.2932422161102295,0.19897790253162384
3,value,4,2.316647529602051,2.1756694316864014,2.5865330696105957,5.508220195770264
4,key,0,2.2617130279541016,2.1155014038085938,0.7868538498878479,0.35235798358917236
5,value,0,3.8693344593048096,3.476020097732544,2.9645347595214844,9.825920104980469
6,key,1,4.684399604797363,4.121374130249023,2.132063388824463,7.849484920501709
7,value,1,5.460270881652832,4.901472091674805,2.1655423641204834,9.309287071228027
8,key,9,6.625898361206055,6.093623161315918,2.3852622509002686,13.599996566772461
9,value,9,8.232538223266602,7.697943687438965,2.781670093536377,19.895750045776367
10,query,4,8.232538223266602,7.697943687438965,2.898475408554077,21.305343627929688
