step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,1.1553250551223755,1.1553248167037964,1.9624178409576416,2.26723051071167
1,value,9,4.393104553222656,4.2503275871276855,3.7596776485443115,15.973790168762207
2,key,4,4.26767110824585,4.122929096221924,0.8567026853561401,0.23354457318782806
3,value,4,8.58255386352539,8.472911834716797,4.210056781768799,34.49574661254883
4,key,0,8.32508373260498,8.218718528747559,0.13623377680778503,0.015573414973914623
5,value,0,13.25609016418457,13.160215377807617,4.515026092529297,56.77987289428711
6,key,1,12.858940124511719,12.765917778015137,0.23585380613803864,0.5275319814682007
7,value,1,18.511554718017578,18.431161880493164,4.739279270172119,84.37591552734375
8,wait,-1,26.93807601928711,24.983264923095703,7.526137828826904,161.90625
9,wait,-1,46.85620880126953,45.18122100830078,8.904372215270996,393.9420166015625
10,query,1,46.85620880126953,45.18122100830078,9.11353874206543,398.2261657714844
