t,s,h_norm,Ah_norm,cos_h0
0,0,1.6001341342926025,0.0,0.9999998807907104
1,0,2.6828877925872803,0.6062910556793213,1.0
2,0,2.0930848121643066,0.8938224911689758,0.9999999403953552
3,0,2.6030592918395996,0.5094104409217834,1.0
4,0,2.1136598587036133,2.074395179748535,1.0
5,0,2.665201425552368,1.934409737586975,1.0
6,0,2.1635894775390625,4.021827220916748,0.9999998807907104
7,0,2.5931203365325928,1.658737063407898,1.0
8,0,4.564317226409912,7.070211410522461,0.9999999403953552
9,0,5.1227874755859375,38.87686538696289,0.9999999403953552
10,0,9.128500938415527,18.99416160583496,1.0000001192092896
