t,s,h_norm,Ah_norm,cos_h0
0,0,36.794403076171875,0.0,0.9999999403953552
0,1,1.7367268800735474,0.0,0.22801944613456726
0,2,1.7367268800735474,0.0,0.22801944613456726
1,0,17.154977798461914,2.2283523082733154,0.9999998807907104
1,1,6.18215274810791,0.9633585214614868,0.9562302827835083
1,2,6.157522201538086,0.9288479089736938,0.9558255672454834
2,0,254.80731201171875,191.8352813720703,1.0
2,1,3.3030598163604736,31.254234313964844,0.09218933433294296
2,2,0.9156708717346191,1.2824280261993408,0.14156661927700043
3,0,8.00879955291748,22.518749237060547,1.0
3,1,5.526714324951172,55.464359283447266,0.30488741397857666
3,2,6.320196151733398,66.58246612548828,0.298337459564209
4,0,262.06719970703125,497.0957336425781,0.9999998807907104
4,1,6.24130916595459,140.1402130126953,0.08802938461303711
4,2,2.177769184112549,39.09520721435547,0.10537349432706833
5,0,13.793622970581055,2.971543788909912,0.9999999403953552
5,1,2.797703742980957,42.21462631225586,0.010759451426565647
5,2,5.862091064453125,122.46183013916016,0.010615061037242413
6,0,291.1263732910156,824.159912109375,0.9999999403953552
6,1,6.622157573699951,225.36175537109375,0.08417429774999619
6,2,3.5835649967193604,108.91641998291016,0.0848650336265564
7,0,29.15351676940918,25.797277450561523,1.0000001192092896
7,1,3.788370370864868,112.0305404663086,0.07523953169584274
7,2,6.585770130157471,214.26939392089844,0.029654759913682938
8,0,304.1318664550781,1427.259033203125,1.0
8,1,6.7491021156311035,307.9857177734375,0.09896716475486755
8,2,4.691051006317139,204.62095642089844,0.11150143295526505
9,0,80.80750274658203,194.4840087890625,1.000000238418579
9,1,6.404568672180176,292.85003662109375,0.07617136090993881
9,2,6.645835876464844,305.9503479003906,0.06376039981842041
10,0,289.8450012207031,1375.791015625,1.0
10,1,6.777419090270996,391.9271545410156,0.08122476935386658
10,2,5.790611743927002,333.09222412109375,0.07964320480823517
