t,s,vec_type,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49],h[50],h[51],h[52],h[53],h[54],h[55],h[56],h[57],h[58],h[59]
3,0,hs,bind,3,0.0,0.0,0.041618697345256805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007887662388384342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,hs,bind,3,0.0,0.0,0.041677772998809814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007885209284722805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-1,base,bind,0,0.12377755343914032,0.2344021201133728,0.15351948142051697,-0.05445033311843872,0.19499874114990234,0.10598684847354889,0.22776204347610474,0.15243682265281677,0.12169420719146729,-0.007813569158315659,0.10444411635398865,-0.009627152234315872,0.19540047645568848,0.259353369474411,0.18862441182136536,-0.04653070494532585,0.14800745248794556,0.1801508367061615,0.21709772944450378,0.05375191941857338,0.13279469311237335,0.12751737236976624,-0.01179736852645874,0.16765470802783966,0.20046116411685944,0.06472497433423996,0.14016908407211304,0.1532127857208252,0.035559751093387604,0.03431457281112671,0.025276221334934235,0.14846280217170715,0.065193772315979,0.17422504723072052,0.021540379151701927,0.004475217312574387,-0.03295613080263138,-0.4640944004058838,0.11367689073085785,0.007150939665734768,0.014034276828169823,0.15603363513946533,0.16288620233535767,0.11569984257221222,0.16623590886592865,0.03291400521993637,0.15532711148262024,0.07821202278137207,0.23531046509742737,0.15491092205047607,0.09431198239326477,-0.05665569007396698,0.4459414482116699,0.15809553861618042,0.13293752074241638,0.13254296779632568,0.031206220388412476,0.07262133806943893,-0.0048028770834207535,0.1328122913837433
4,0,hs,bind,0,0.0,0.0,0.021011481061577797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017294904217123985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031099694315344095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,hs,bind,0,0.0,0.0,0.021046511828899384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017294110730290413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031102753710001707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-1,base,bind,2,0.12845227122306824,0.1070432960987091,0.07848331332206726,0.09878282248973846,0.14171355962753296,0.004002436995506287,0.17870184779167175,0.0728926807641983,0.15021900832653046,0.219148650765419,-0.013140678405761719,0.015540456399321556,0.11431090533733368,0.1023908257484436,0.09480031579732895,0.11946767568588257,0.09543680399656296,0.13190476596355438,0.17844834923744202,0.021516388282179832,0.03305051103234291,0.1033516451716423,-0.12840405106544495,0.06411430239677429,0.06633436679840088,-0.009291734546422958,0.04238199442625046,0.07860352843999863,0.1181810200214386,0.016478760167956352,-0.024741150438785553,-0.04420669376850128,-0.04702527076005936,0.14359456300735474,-0.1105751097202301,-0.01603258028626442,0.0005197306163609028,-0.20197772979736328,0.1367150843143463,0.025417957454919815,-0.05281319469213486,0.11682472378015518,0.027385465800762177,0.1191980391740799,0.1155862957239151,-0.108726866543293,0.11598510295152664,0.02005676180124283,0.08353269845247269,0.14975763857364655,0.1400291621685028,-0.006705213338136673,0.29852890968322754,0.12539739906787872,0.0941445603966713,0.1382751166820526,0.04316464439034462,0.08860355615615845,0.04959780350327492,0.010117538273334503
5,0,hs,bind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049563758075237274,0.0,0.0,0.005521262064576149,0.0,0.0,0.029553471133112907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044311292469501495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014160888269543648,0.0,0.0,0.01602870598435402,0.0,0.0,0.0,0.0,0.0,0.004468161147087812,0.0,0.0,0.0,0.0
5,1,hs,bind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04956237971782684,0.0,0.0,0.00552070839330554,0.0,0.0,0.029552793130278587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044334977865219116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014159644022583961,0.0,0.0,0.016029326245188713,0.0,0.0,0.0,0.0,0.0,0.004467093385756016,0.0,0.0,0.0,0.0
6,-1,base,bind,3,0.09458723664283752,0.271592915058136,0.11588196456432343,-0.036290641874074936,0.10815148055553436,0.07393385469913483,0.2352590560913086,0.1248372495174408,0.15781018137931824,-0.023150037974119186,0.09750185161828995,0.06280693411827087,0.13252323865890503,0.2665709853172302,0.16996926069259644,0.04648729786276817,0.0993853360414505,0.20494845509529114,0.11670669168233871,0.17025282979011536,0.08547501266002655,0.12330761551856995,0.0022918395698070526,0.13561661541461945,0.1540098935365677,0.06010188162326813,0.16264724731445312,0.1649954617023468,0.0006327219307422638,0.03609004616737366,0.07844902575016022,0.13956445455551147,0.002325582318007946,0.15573039650917053,0.0037168245762586594,0.0256677083671093,-0.05279422923922539,-0.49253448843955994,0.006153203547000885,0.09579994529485703,-0.03604777157306671,0.11501863598823547,0.11934434622526169,0.13474509119987488,0.19851690530776978,0.03440246358513832,0.12145562469959259,0.042584747076034546,0.22161902487277985,0.16075322031974792,0.1283884346485138,0.05569947510957718,0.4843505918979645,0.12530869245529175,0.10474298894405365,0.056006960570812225,0.05224943161010742,0.09527184069156647,-0.036384500563144684,0.1344708800315857
6,0,hs,bind,3,0.0,0.0,0.000286601745756343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
