step,kind,cid,froA,specA,h_norm,Ah_norm
0,bind_noise,-1,14.650280952453613,3144.400390625,6.988152027130127,102.37838745117188
1,bind_noise,-1,41.21849060058594,69846.90625,10.194402694702148,416.9012451171875
2,bind,0,73.60220336914062,397426.84375,11.930410385131836,867.9266967773438
3,bind_noise,-1,106.1741714477539,1193748.375,12.785929679870605,1343.115966796875
4,bind_noise,-1,135.9033203125,2505374.25,13.201522827148438,1779.0106201171875
5,bind,0,161.8252410888672,4232201.5,13.429691314697266,2158.888427734375
6,bind,1,183.93333435058594,6216991.0,13.570640563964844,2483.10595703125
7,bind_noise,-1,202.55596923828125,8305249.5,13.664511680603027,2756.439697265625
8,bind_noise,-1,218.12123107910156,10372756.0,13.730121612548828,2985.03955078125
9,bind_noise,-1,231.0704803466797,12333657.0,13.778084754943848,3175.465087890625
10,bind,1,241.8089599609375,14135698.0,13.813756942749023,3333.543701171875
11,bind,2,250.68572998046875,15751372.0,13.8410005569458,3464.15771484375
12,bind,0,258.0103454589844,17173614.0,13.862207412719727,3571.99169921875
13,bind,2,264.0489196777344,18408480.0,13.879268646240234,3661.023681640625
14,bind_noise,-1,269.02203369140625,19468786.0,13.892744064331055,3734.37109375
15,bind,2,273.11572265625,20371486.0,13.903794288635254,3794.81640625
16,bind,3,276.4835510253906,21134674.0,13.912800788879395,3844.5712890625
17,bind_noise,-1,279.25323486328125,21776408.0,13.920180320739746,3885.515380859375
18,bind_noise,-1,281.53204345703125,22313996.0,13.926411628723145,3919.273681640625
19,bind_noise,-1,283.4075012207031,22763018.0,13.931625366210938,3947.10107421875
20,bind,3,284.9527587890625,23137438.0,13.936152458190918,3970.10302734375
21,bind,1,286.2264404296875,23449154.0,13.939913749694824,3989.091064453125
22,bind_noise,-1,287.2767333984375,23708274.0,13.943066596984863,4004.772705078125
23,bind,3,288.1459045410156,23924152.0,13.945892333984375,4017.849853515625
24,query,1,288.1459045410156,23924152.0,13.948196411132812,4018.372314453125
