t,s,h_norm,Ah_norm,cos_h0
0,0,0.8745579719543457,0.0,0.9999999403953552
1,0,0.8430264592170715,0.17475630342960358,1.0
2,0,1.7211310863494873,0.6720631718635559,0.9999999403953552
3,0,1.497570276260376,1.6847959756851196,1.0
4,0,1.056195855140686,1.9337211847305298,1.0000001192092896
5,0,1.3494986295700073,2.2920358180999756,1.0
6,0,1.4702397584915161,4.249721050262451,1.0
7,0,1.0245040655136108,3.9962456226348877,1.0000001192092896
8,0,1.027161717414856,4.448779106140137,0.9999997615814209
9,0,0.6695185303688049,3.5951011180877686,1.0
10,0,0.6952319741249084,3.7394015789031982,1.0000001192092896
11,0,1.319892406463623,7.301612854003906,1.0
12,0,3.56710147857666,7.340238094329834,0.9999999403953552
13,0,1.153810977935791,3.972092628479004,0.9999999403953552
14,0,0.177043154835701,0.07853566110134125,1.0
