step,kind,class_id,froA,specA,h_norm,Ah_norm
0,bind,0,0.7887577414512634,0.7887576818466187,1.6214784383773804,1.2789536714553833
1,bind,1,1.3181902170181274,1.2787874937057495,1.6669132709503174,1.9454853534698486
2,bind,0,2.17301869392395,2.119873523712158,1.8779494762420654,3.828002452850342
3,bind,2,2.3754496574401855,2.319531202316284,1.2368401288986206,2.2791714668273926
4,bind,2,2.7704150676727295,2.6865251064300537,1.6473019123077393,3.541407823562622
5,bind,3,3.3031370639801025,3.1925606727600098,1.9079828262329102,4.912090301513672
6,bind,0,3.740577220916748,3.6438381671905518,1.414194941520691,4.964318752288818
7,bind,1,4.3262739181518555,4.176133632659912,1.9598736763000488,6.637101173400879
8,bind,1,4.823805332183838,4.682787895202637,1.6474437713623047,6.957458972930908
9,bind,3,5.210695743560791,5.036685466766357,1.8209123611450195,6.9088263511657715
10,bind,3,5.8396148681640625,5.588855743408203,2.0984365940093994,9.313779830932617
11,bind,2,6.036040306091309,5.7957234382629395,1.36538827419281,6.605223178863525
12,wait,-1,6.321005344390869,6.091226100921631,1.5420058965682983,7.7950358390808105
13,wait,-1,6.391369819641113,6.176591396331787,1.018770694732666,5.861392498016357
14,query,1,6.391369819641113,6.176591396331787,1.4936447143554688,8.53609561920166
