t,s,h_norm,Ah_norm,cos_h0,cos_value
0,0,0.8814885020256042,0.0,1.0,
0,1,6.988152027130127,0.0,0.9688957929611206,
0,2,6.988152027130127,0.0,0.9688957929611206,
1,0,15.448895454406738,144.2422332763672,1.0,
1,1,10.186956405639648,134.27928161621094,0.8333081603050232,
1,2,10.194300651550293,134.14317321777344,0.8367012143135071,
2,0,17.072145462036133,558.2900390625,1.0000001192092896,
2,1,11.953831672668457,463.2009582519531,0.8575422763824463,
2,2,11.93076229095459,462.6671447753906,0.8592897057533264,
3,0,16.480152130126953,979.3353881835938,0.9999998807907104,
3,1,12.781004905700684,908.0106201171875,0.8238276839256287,
3,2,12.785806655883789,908.1641845703125,0.8243207335472107,
4,0,15.83894157409668,1307.560791015625,1.0,
4,1,13.18497371673584,1370.28466796875,0.7735245227813721,
4,2,13.201211929321289,1371.199951171875,0.773201048374176,
5,0,15.174358367919922,1546.7252197265625,1.0000001192092896,
5,1,13.408297538757324,1796.6484375,0.7351382970809937,
5,2,13.429363250732422,1798.26220703125,0.7343708872795105,
6,0,15.053813934326172,1812.6893310546875,1.0000001192092896,
6,1,13.552507400512695,2171.283935546875,0.7286190986633301,
6,2,13.570404052734375,2172.9248046875,0.7277551293373108,
7,0,14.959648132324219,1974.4244384765625,1.0,
7,1,13.649888038635254,2492.1494140625,0.7045037746429443,
7,2,13.66435432434082,2493.7099609375,0.7036105990409851,
8,0,14.30099868774414,1994.4931640625,0.9999999403953552,
8,1,13.717344284057617,2763.02587890625,0.6768496036529541,
8,2,13.730010986328125,2764.6083984375,0.6759264469146729,
9,0,14.381356239318848,2176.832275390625,1.0,
9,1,13.768505096435547,2990.2353515625,0.6847608089447021,
9,2,13.778024673461914,2991.626220703125,0.6843078136444092,
10,0,14.580623626708984,2271.528076171875,1.0,
10,1,13.805535316467285,3179.61279296875,0.665637195110321,
10,2,13.813714981079102,3180.90625,0.6650837063789368,
11,0,14.577425003051758,2350.577392578125,1.0,
11,1,13.834572792053223,3336.755859375,0.6601558327674866,
11,2,13.840970993041992,3337.82421875,0.6595980525016785,
12,0,14.273719787597656,2262.562744140625,0.9999999403953552,
12,1,13.856075286865234,3466.53369140625,0.6261150240898132,
12,2,13.862186431884766,3467.651611328125,0.6253308653831482,
13,0,14.020710945129395,2380.4873046875,1.0,
13,1,13.8748779296875,3574.109375,0.6539271473884583,
13,2,13.879257202148438,3574.942626953125,0.6533275246620178,
14,0,13.90783977508545,2305.053466796875,1.0,
14,1,13.888422012329102,3662.553955078125,0.6234306693077087,
14,2,13.892733573913574,3663.4521484375,0.6227622628211975,
15,0,14.214627265930176,2436.391357421875,1.0,
15,1,13.9005708694458,3735.71923828125,0.6346977949142456,
15,2,13.903789520263672,3736.41455078125,0.6341363191604614,
16,0,14.28764533996582,2460.934326171875,1.0,
16,1,13.909968376159668,3795.871826171875,0.6284258365631104,
16,2,13.912797927856445,3796.4990234375,0.6278713345527649,
17,0,14.218918800354004,2435.363525390625,0.9999998807907104,
17,1,13.917527198791504,3845.345947265625,0.6177540421485901,
17,2,13.920175552368164,3845.953857421875,0.6171087026596069,
18,0,14.005494117736816,2410.007568359375,0.9999999403953552,
18,1,13.923934936523438,3886.115478515625,0.6146796941757202,
18,2,13.926408767700195,3886.698486328125,0.614035964012146,
19,0,13.646466255187988,2317.3837890625,1.0,
19,1,13.929088592529297,3919.65478515625,0.6017559766769409,
19,2,13.931624412536621,3920.26953125,0.6010359525680542,
20,0,14.277305603027344,2527.55126953125,1.0,
20,1,13.934353828430176,3947.525634765625,0.6242988705635071,
20,2,13.936147689819336,3947.972412109375,0.6237261295318604,
21,0,14.206260681152344,2547.3466796875,0.9999998807907104,
21,1,13.938218116760254,3970.407958984375,0.6285685896873474,
21,2,13.939910888671875,3970.833984375,0.6280233263969421,
22,0,13.704176902770996,2366.00830078125,1.0,
22,1,13.941073417663574,3989.190673828125,0.6025744676589966,
22,2,13.943065643310547,3989.704345703125,0.6018568277359009,
23,0,14.080836296081543,2445.892578125,1.0,
23,1,13.944236755371094,4004.929931640625,0.6049938797950745,
23,2,13.945890426635742,4005.38720703125,0.6043620109558105,
24,0,14.120904922485352,2531.015869140625,1.0,0.6216317415237427
24,1,13.946759223937988,4017.97119140625,0.6225512027740479,0.9999698400497437
24,2,13.948196411132812,4018.372314453125,0.6219910383224487,0.9999690651893616
