step,kind,class_id,froA,specA,h_norm,Ah_norm
0,bind,0,0.26386240124702454,0.26386240124702454,0.9378386735916138,0.24746039509773254
1,bind,1,1.0364618301391602,1.033676028251648,1.686881184577942,1.7291295528411865
2,bind,0,1.532080054283142,1.5228891372680664,1.495245099067688,2.1141788959503174
3,bind,2,1.729782223701477,1.713839054107666,1.1619434356689453,1.6071518659591675
4,bind,2,2.539726734161377,2.5281174182891846,1.7755191326141357,4.364506721496582
5,bind,3,2.7214176654815674,2.707395076751709,1.1024059057235718,2.5511257648468018
6,bind,0,3.8902342319488525,3.878211498260498,2.113126277923584,8.016183853149414
7,bind,1,4.4139275550842285,4.398087978363037,1.6626416444778442,6.553870677947998
8,bind,1,4.704148292541504,4.679093837738037,1.5629299879074097,5.696481704711914
9,bind,3,6.049768447875977,6.003176212310791,2.568707227706909,13.895939826965332
10,bind,3,7.596529006958008,7.560596942901611,2.4482414722442627,18.270105361938477
11,bind,2,9.463458061218262,9.435474395751953,2.6891183853149414,25.065080642700195
12,wait,-1,12.282362937927246,12.260083198547363,3.2660090923309326,39.61210632324219
13,wait,-1,15.145220756530762,15.126996040344238,3.3121554851531982,49.766883850097656
14,query,1,15.145220756530762,15.126996040344238,0.3722684681415558,0.11781227588653564
