step,kind,class_id,froA,specA,h_norm,Ah_norm
0,bind,0,0.0,0.0,0.8453925251960754,0.0
1,bind,1,0.0,0.0,1.31674063205719,0.0
2,bind,0,0.0,0.0,2.388792037963867,0.0
3,bind,2,0.0,0.0,3.3116207122802734,0.0
4,bind,2,0.0,0.0,4.177058696746826,0.0
5,bind,3,0.0,0.0,3.200385808944702,0.0
6,bind,0,0.0,0.0,3.950596570968628,0.0
7,bind,1,0.0,0.0,3.5563862323760986,0.0
8,bind,1,0.0,0.0,3.467555046081543,0.0
9,bind,3,0.0,0.0,3.523961305618286,0.0
10,bind,3,0.0,0.0,3.4700608253479004,0.0
11,bind,2,0.0,0.0,3.9035048484802246,0.0
12,wait,-1,0.0,0.0,4.748395919799805,0.0
13,wait,-1,0.0,0.0,1.8206722736358643,0.0
14,query,1,0.0,0.0,0.2529686391353607,0.0
