epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,1,1,1,0.85,0.1,5,0,100,50,1.0,1.760482328605652,0.288746875,1.4843544795513153,0.354796875,0.003431286575327569,0.34807155331235795,0.3615221966876421,15.327285415029525,0.0,0.0,0.0,0.20418863017737865,0.1317762934923172
2,0,1,1,1,0.85,0.1,5,0,100,50,1.0,1.4832953496456147,0.349709375,1.452094262957573,0.349984375,0.0034317252011536125,0.34325819360573895,0.3567105563942611,17.302659345626832,0.0,0.0,0.0,0.13344234156429768,0.13659391191899778
3,0,1,1,1,0.85,0.1,5,0,100,50,1.0,1.4511660334587098,0.350940625,1.4295289573669434,0.351828125,0.0036903208927900923,0.3445950960501314,0.3590611539498686,18.743272146987916,0.0,0.0,0.0,0.13675794549405573,0.1335802251636982
4,0,1,1,1,0.85,0.1,5,0,100,50,1.0,1.4387803770065308,0.349578125,1.4464022040367126,0.346546875,0.0033421380251317722,0.3399962844707417,0.35309746552925825,18.803161879730226,0.0,0.0,0.0,0.14147034276604653,0.14500679920613765
5,0,1,1,1,0.85,0.1,5,0,100,50,1.0,1.432889624929428,0.35065,1.4140867689847947,0.363078125,0.0036890153928455637,0.3558476548300227,0.3703085951699773,18.40184368467331,0.0,0.0,0.0,0.1456452454662323,0.14388661552071572
6,0,1,1,1,0.85,0.1,5,0,100,50,1.0,1.1511573834300042,0.486215625,0.8625511852912605,0.5863125,0.0038313690141235676,0.5788030167323178,0.5938219832676822,13.947881154346467,0.0,0.0,0.0,0.1423963245999813,0.12895946036875247
7,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.8163927816756069,0.59869375,0.7694873926267027,0.621296875,0.0038350077163004804,0.613780259876051,0.6288134901239489,11.803854231834412,0.0,0.0,0.0,0.11842902697563171,0.10851709280014038
8,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.6148441589988768,0.715396875,0.39856313180550934,0.826265625,0.0036548567270006816,0.8191021058150787,0.8334291441849213,10.24628994436264,0.0,0.0,0.0,0.09297390313565732,0.07447038955688476
9,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.353004235220328,0.85755625,0.33914017207175495,0.8688125,0.0033229568919304103,0.8622995044918164,0.8753254955081836,7.818026069974899,0.0,0.0,0.0,0.05611565056800843,0.044050413289666183
10,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.31161973154880107,0.883759375,0.29928896931000054,0.88890625,0.0031918174806657867,0.8826502877378951,0.8951622122621049,7.211121280145645,0.0,0.0,0.0,0.035508546062707896,0.029850516566634178
11,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.3092894017741084,0.891459375,0.29844935209304096,0.899,0.0030321833932935656,0.8930569205491447,0.9049430794508554,7.178501390719414,0.0,0.0,0.0,0.02699372013926506,0.023994280686974526
12,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.2805248417109251,0.904203125,0.28430680109001694,0.90175,0.0029518587392113,0.895964356871146,0.9075356431288542,7.290964737510681,0.0,0.0,0.0,0.02243931499838829,0.021261755415797234
13,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.2627413207739592,0.910134375,0.2528633656781167,0.9145625,0.0028281193212225924,0.9090193861304037,0.9201056138695962,7.363182428979874,0.0,0.0,0.0,0.019923626241087913,0.01907786649465561
14,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.2534173188120127,0.9139125,0.23019179962016642,0.9191875,0.0027214595059997485,0.9138534393682406,0.9245215606317595,7.274936446714401,0.0,0.0,0.0,0.017961653712391855,0.01707547042965889
15,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.2130391304627061,0.9256625,0.20565202521905304,0.932140625,0.002499852241092128,0.9272409146074594,0.9370403353925405,7.186722316765786,0.0,0.0,0.0,0.016323589649796487,0.015489649593830108
16,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.20120922362804414,0.9316375,0.18224673304334282,0.9334375,0.002602680082613154,0.9283362470380783,0.9385387529619218,7.170796353030204,0.0,0.0,0.0,0.015086379407048224,0.014594140121340752
17,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.1851299623169005,0.9398,0.18901294538006186,0.941296875,0.0024342732701812973,0.9365256993904447,0.9460680506095553,7.292507315206528,0.0,0.0,0.0,0.013976192066669467,0.01361979607343674
18,0,1,1,1,0.85,0.1,5,0,100,50,1.0,0.16906893190406264,0.94655625,0.17061350646428763,0.9484375,0.0023128143250001638,0.9439043839229997,0.9529706160770004,7.7391045681238175,0.0,0.0,0.0,0.013103142338395119,0.012776467236876489
