t,cos_raw,cos_pos
0,0.0,0.0
1,0.07245231057790391,0.07245231057790391
2,0.09248349206119337,0.09248349206119337
3,0.6918986620061355,0.6918986620061355
4,0.06143384448237604,0.06143384448237604
5,0.6424900116894373,0.6424900116894373
6,0.17458241121591442,0.17458241121591442
7,0.8030160148743939,0.8030160148743939
8,0.24519813039992702,0.24519813039992702
9,0.9396762129274139,0.9396762129274139
10,0.3916034798319335,0.3916034798319335
11,0.879000652949239,0.879000652949239
12,0.9458431017200288,0.9458431017200288
