lambda,eta,mean_valid_acc,std_valid_acc,n
0.65,0.3,0.34225,0.0,1
0.65,0.5,0.427734375,0.0,1
0.65,0.7,0.34959375,0.0,1
0.8,0.3,0.335734375,0.0,1
0.8,0.5,0.55134375,0.0,1
0.8,0.7,0.422609375,0.0,1
0.95,0.3,0.4208125,0.0,1
0.95,0.5,0.77846875,0.0,1
0.95,0.7,0.491015625,0.0,1
