ckpt,core,S,fw,eta,lam,seed,w_mean,w_std,w_min,w_max,w_n_pos,w_n_neg,w_n_zero,b_mean,b_std,b_min,b_max,b_n_pos,b_n_neg,b_n_zero
kv_fw_S1_fw1_eta0300_lam0950_seed0,fw,1,1,0.3,0.95,0,0.9688424468040466,0.781711757183075,-0.027941890060901642,2.2141473293304443,49,1,0,-0.35510581731796265,0.6079123020172119,-2.352079153060913,0.3851179778575897,6,44,0
kv_fw_S1_fw1_eta0500_lam0800_seed0,fw,1,1,0.5,0.8,0,0.38226863741874695,0.4490099251270294,-0.09743445366621017,1.4686843156814575,49,1,0,-0.027062511071562767,0.21572881937026978,-0.8899946212768555,0.5538397431373596,16,34,0
kv_rnn_S1_fw1_eta0000_lam0000_seed0,rnn,1,1,0.0,0.0,0,1.0131577253341675,0.6708839535713196,0.0042833262123167515,2.4863061904907227,50,0,0,0.0997672975063324,0.4389435052871704,-0.7610697746276855,1.364591121673584,25,25,0
kv_tanh_S1_fw1_eta0500_lam0950_seed0,tanh,1,1,0.5,0.95,0,1.1292519569396973,0.6920637488365173,0.008048857562243938,1.9633318185806274,50,0,0,-0.4329542815685272,0.451250821352005,-1.3361930847167969,0.3555765450000763,6,44,0
kv_tanh_S1_fw1_eta0700_lam0650_seed0,tanh,1,1,0.7,0.65,0,0.3956760764122009,0.5075368285179138,0.007683292496949434,1.6248635053634644,50,0,0,-0.08161667734384537,0.3232138752937317,-1.0158997774124146,1.690745234489441,2,48,0
