epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,4,1,1,1,0.65,0.5,5,2,100,50,1.0,2.3193706451416016,0.099234375,2.3048861083984375,0.101546875,0.003189771600510591,0.09529492266299924,0.10779882733700075,66.9767557258606,0.0,0.0,0.0,0.0,0.0
2,4,1,1,1,0.65,0.5,5,2,100,50,1.0,1.8399105185508728,0.27276875,1.5239013199806213,0.3506875,0.003465018439455681,0.34389606385866683,0.35747893614133314,22.99112473168373,0.0,0.0,0.0,0.0,0.0
3,4,1,1,1,0.65,0.5,5,2,100,50,1.0,1.5010377327919007,0.35185,1.4624826946258545,0.355234375,0.0035869922236688796,0.348203870241609,0.362264879758391,24.45908858127594,0.0,0.0,0.0,0.0,0.0
4,4,1,1,1,0.65,0.5,5,2,100,50,1.0,1.4660951066017152,0.346628125,1.4720506401062012,0.336078125,0.0035215525525053885,0.32917588199708947,0.34298036800291054,27.049175088882446,0.0,0.0,0.0,0.0,0.0
5,4,1,1,1,0.65,0.5,5,2,100,50,1.0,1.4443154494285584,0.343384375,1.4202848529815675,0.339578125,0.003618601997536545,0.33248566508482835,0.34667058491517166,28.979700821113585,0.0,0.0,0.0,0.0,0.0
6,4,1,1,1,0.65,0.5,5,2,100,50,1.0,1.4346502180099487,0.342546875,1.4637373864650727,0.330140625,0.00356207732322138,0.3231589534464861,0.33712229655351394,30.424860436058044,0.0,0.0,0.0,0.0,0.0
7,4,1,1,1,0.65,0.5,5,2,100,50,1.0,1.4227160278320312,0.342590625,1.4147881250381469,0.35125,0.0035345803637665337,0.3443222224870176,0.3581777775129824,31.650897989463807,0.0,0.0,0.0,0.0,0.0
8,4,1,1,1,0.65,0.5,5,2,100,50,1.0,1.419691494369507,0.341409375,1.4383076324462891,0.34325,0.003487015192105561,0.3364154502234731,0.3500845497765269,31.781091096115112,0.0,0.0,0.0,0.0,0.0
9,4,1,1,1,0.65,0.5,5,2,100,50,1.0,1.4124340384483338,0.343590625,1.419051676750183,0.347953125,0.0035498207348212485,0.3409954763597503,0.35491077364024964,32.69535177974701,0.0,0.0,0.0,0.0,0.0
10,4,1,1,1,0.65,0.5,5,2,100,50,1.0,1.4096459935188292,0.343625,1.4151248416900635,0.330765625,0.0035600895195554154,0.3237878495416714,0.3377434004583286,34.02173556251526,0.0,0.0,0.0,0.0,0.0
