t,cos_raw,cos_pos
0,0.0,0.0
1,0.2044176277220599,0.2044176277220599
2,0.20587342732037872,0.20587342732037872
3,0.31076675424378886,0.31076675424378886
4,0.2639874729378401,0.2639874729378401
5,0.3195793971805688,0.3195793971805688
6,0.44596965645723435,0.44596965645723435
7,0.4398790135221503,0.4398790135221503
8,0.3887012649288066,0.3887012649288066
9,0.7858725490019354,0.7858725490019354
10,0.28640144573804427,0.28640144573804427
11,0.2691009685124478,0.2691009685124478
12,0.7110933857725894,0.7110933857725894
