epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
43,0,fw,0,1,1,0.85,0.3,12,4,0,0.7088099275964002,0.5289311557480445,0.7337830547243357,0.5147611229866743,0.0,0.0,0.0,0.0
44,0,fw,0,1,1,0.85,0.3,12,4,0,0.6888931164517998,0.5408897394717982,0.7114141484349966,0.5272703996859491,0.0,0.0,0.0,0.0
45,0,fw,0,1,1,0.85,0.3,12,4,0,0.7177739674349626,0.5273502826535453,0.7606707290466875,0.47656408306211234,0.0,0.0,0.0,0.0
46,0,fw,0,1,1,0.85,0.3,12,4,0,0.6909325252349178,0.5392135324530924,0.6658463104814291,0.5629919580370187,0.0,0.0,0.0,0.0
47,0,fw,0,1,1,0.85,0.3,12,4,0,0.7315672746766358,0.5105151367497941,0.7257174890302122,0.5162952267751098,0.0,0.0,0.0,0.0
48,0,fw,0,1,1,0.85,0.3,12,4,0,0.7142907517837981,0.5270111659076064,0.6902720212191343,0.5329964076727629,0.0,0.0,0.0,0.0
49,0,fw,0,1,1,0.85,0.3,12,4,0,0.7227728839715322,0.5186224666548273,0.7046843013726175,0.526335945725441,0.0,0.0,0.0,0.0
50,0,fw,0,1,1,0.85,0.3,12,4,0,0.6970866271993146,0.5368483867372076,0.6856413661316038,0.5572681204229594,0.0,0.0,0.0,0.0
51,0,fw,0,1,1,0.85,0.3,12,4,0,0.6682166494025539,0.555707142247508,0.6730653486773371,0.5524875962734223,0.0,0.0,0.0,0.0
52,0,fw,0,1,1,0.85,0.3,12,4,0,0.717033664866661,0.5248112583067268,0.677607896970585,0.55087651476264,0.0,0.0,0.0,0.0
53,0,fw,0,1,1,0.85,0.3,12,4,0,0.6954386517032981,0.537034035762772,0.7007528461143374,0.5330751567613333,0.0,0.0,0.0,0.0
54,0,fw,0,1,1,0.85,0.3,12,4,0,0.7039493692666292,0.5395489935297519,0.6986382309067994,0.5475946803670376,0.0,0.0,0.0,0.0
55,0,fw,0,1,1,0.85,0.3,12,4,0,0.656583954061692,0.5742316257643203,0.6648507748544216,0.5809899437520653,0.0,0.0,0.0,0.0
56,0,fw,0,1,1,0.85,0.3,12,4,0,0.7022308064624667,0.5228550071765979,0.6851600311137735,0.5375417016167193,0.0,0.0,0.0,0.0
57,0,fw,0,1,1,0.85,0.3,12,4,0,0.69461653733626,0.5389328463530789,0.7050552446208894,0.5317682676017285,0.0,0.0,0.0,0.0
58,0,fw,0,1,1,0.85,0.3,12,4,0,0.6692663938008869,0.5641699788657327,0.7040895644947887,0.5308768323250115,0.0,0.0,0.0,0.0
59,0,fw,0,1,1,0.85,0.3,12,4,0,0.687283447937419,0.5476570358624061,0.6541280673630535,0.5695737328473478,0.0,0.0,0.0,0.0
60,0,fw,0,1,1,0.85,0.3,12,4,0,0.697800388893423,0.5374670042004436,0.7278100096806884,0.5151011887937784,0.0,0.0,0.0,0.0
61,0,fw,0,1,1,0.85,0.3,12,4,0,0.6867350262807062,0.5607005026036253,0.6871420115046203,0.560072320830077,0.0,0.0,0.0,0.0
62,0,fw,0,1,1,0.85,0.3,12,4,0,0.702326815535004,0.5357741861355801,0.7194473160617053,0.5330162245966494,0.0,0.0,0.0,0.0
63,0,fw,0,1,1,0.85,0.3,12,4,0,0.6801279638133322,0.5521612506111463,0.739169765044935,0.532915106434375,0.0,0.0,0.0,0.0
64,0,fw,0,1,1,0.85,0.3,12,4,0,0.69161182471551,0.5455520940944553,0.6678100339882076,0.5668666651099921,0.0,0.0,0.0,0.0
65,0,fw,0,1,1,0.85,0.3,12,4,0,0.6920099136636902,0.5430460583232343,0.6669464711658657,0.557215347699821,0.0,0.0,0.0,0.0
66,0,fw,0,1,1,0.85,0.3,12,4,0,0.6483246580014627,0.576067207660526,0.6623783057089895,0.5549007814377547,0.0,0.0,0.0,0.0
