ckpt,core,S,fw,eta,lam,seed,noise,w_mean,w_std,w_min,w_max,w_n_pos,w_n_neg,w_n_zero,b_mean,b_std,b_min,b_max,b_n_pos,b_n_neg,b_n_zero
kv_fw_S1_noise0600_eta0300_lam0950_seed0,fw,1,,0.3,0.95,0,0.6,0.5660697817802429,0.5950668454170227,0.0001253623195225373,1.5091111660003662,60,0,0,0.12415098398923874,0.23130293190479279,-0.11687643080949783,0.9770915508270264,30,30,0
kv_rnn_S0_noise0600_eta0000_lam0000_seed0,rnn,0,,0.0,0.0,0,0.6,0.4570966064929962,0.6333036422729492,-0.04870380461215973,2.2770023345947266,49,11,0,-0.017330165952444077,0.2659827172756195,-1.6319847106933594,0.45744696259498596,19,41,0
kv_tanh_S1_noise0600_eta0300_lam0950_seed0,tanh,1,,0.3,0.95,0,0.6,0.8722602128982544,0.8616065382957458,0.004938095808029175,2.523432970046997,60,0,0,0.15729981660842896,0.3223865032196045,-1.1633976697921753,0.9337233304977417,30,30,0
