t,cos_raw,cos_pos
0,0.0,0.0
1,0.3076154453470555,0.3076154453470555
2,0.6936124998297246,0.6936124998297246
3,0.33536808652293376,0.33536808652293376
4,0.6119238581782928,0.6119238581782928
5,0.24121314728172935,0.24121314728172935
6,0.5816659041450918,0.5816659041450918
7,0.24340677067060718,0.24340677067060718
8,0.6083619441497965,0.6083619441497965
9,0.6765280636040457,0.6765280636040457
10,0.4753530914391796,0.4753530914391796
11,0.5578292116179863,0.5578292116179863
12,0.5266063981685337,0.5266063981685337
