lambda,eta,mean_valid_acc,std_valid_acc,n
0.65,0.3,0.53225,0.0,1
0.65,0.5,0.483734375,0.0,1
0.65,0.7,0.52484375,0.0,1
0.8,0.3,0.554765625,0.0,1
0.8,0.5,0.479515625,0.0,1
0.8,0.7,0.56215625,0.0,1
0.95,0.3,0.50134375,0.0,1
0.95,0.5,0.5004375,0.0,1
0.95,0.7,0.477796875,0.0,1
