lambda,eta,mean_valid_acc,std_valid_acc,n
0.65,0.3,0.545078125,0.0310555591465723,3
0.65,0.5,0.5868854166666667,0.01886491837775362,3
0.65,0.7,0.45410937500000004,0.0756134676124234,3
0.8,0.3,0.5994010416666666,0.03354975882587395,3
0.8,0.5,0.34808854166666664,0.0028504480794205415,3
0.8,0.7,0.5538020833333334,0.061502485464540166,3
0.95,0.3,0.8657760416666666,0.11219368696186618,3
0.95,0.5,0.9029375000000001,0.00746457562912433,3
0.95,0.7,0.768515625,0.13348914459708108,3
